保单年度,被保险人年龄,年度保费,累计保费,中英鑫盈家现金价值,爱心守护神现金价值,福满盈3.0固收现金价值,福满盈3.0总现金价值,中意固收现金价值,中意总现金价值
27,28,0.00,100000.00,164550.00,169669.00,138730.00,189071.45,138905.72,189277.83
28,29,0.00,100000.00,168670.00,173910.00,141500.00,195495.56,141677.47,195704.32
29,30,0.00,100000.00,172880.00,178258.00,144330.00,202143.13,144511.33,202358.67
30,31,0.00,100000.00,177200.00,182715.00,147210.00,209010.48,147391.78,209224.57
31,32,0.00,100000.00,181630.00,187283.00,150150.00,216109.99,150334.33,216329.24
32,33,0.00,100000.00,186160.00,191965.00,153150.00,223454.82,153339.00,223680.60
33,34,0.00,100000.00,190820.00,196764.00,156210.00,231048.76,156405.78,231284.75
34,35,0.00,100000.00,195580.00,201683.00,159330.00,238901.93,159534.67,239149.95
35,36,0.00,100000.00,200470.00,206725.00,162520.00,247026.90,162725.68,247282.67
36,37,0.00,100000.00,205480.00,211893.00,165770.00,255424.82,165978.79,255689.43
37,38,0.00,100000.00,210610.00,217190.00,169080.00,264104.34,169294.02,264376.90
38,39,0.00,100000.00,215880.00,222620.00,172460.00,273081.76,172679.12,273366.35
39,40,0.00,100000.00,221270.00,228186.00,175910.00,282370.87,176134.10,282663.02
40,41,0.00,100000.00,226800.00,233890.00,179430.00,291970.03,179651.20,292264.09
41,42,0.00,100000.00,232470.00,239737.00,183020.00,301902.46,183245.93,302204.73
42,43,0.00,100000.00,238280.00,245731.00,186680.00,312166.51,186910.54,312480.52
43,44,0.00,100000.00,244230.00,251874.00,190410.00,322772.03,190645.02,323099.60
44,45,0.00,100000.00,250330.00,258171.00,194220.00,333753.48,194457.14,334083.58
45,46,0.00,100000.00,256590.00,264625.00,198110.00,345104.56,198346.91,345443.98
46,47,0.00,100000.00,263000.00,271241.00,202070.00,356836.58,202306.55,357176.33
47,48,0.00,100000.00,269570.00,278022.00,206110.00,368964.77,206351.59,369317.25
48,49,0.00,100000.00,276310.00,284972.00,210230.00,381505.62,210474.28,381868.22
49,50,0.00,100000.00,283220.00,292097.00,214440.00,394486.42,214682.36,394847.98
50,51,0.00,100000.00,290290.00,299399.00,218730.00,407896.08,218968.09,408258.17
51,52,0.00,100000.00,297550.00,306884.00,223100.00,421759.50,223346.99,422138.47
52,53,0.00,100000.00,304980.00,314556.00,227560.00,436100.01,227811.29,436485.73
53,54,0.00,100000.00,312610.00,322420.00,232110.00,450922.18,232360.99,451314.24
54,55,0.00,100000.00,320420.00,330480.00,236760.00,466263.35,236996.10,466635.68
55,56,0.00,100000.00,328430.00,338742.00,241490.00,482111.82,241732.14,482495.98
56,57,0.00,100000.00,336630.00,347211.00,246320.00,498508.73,246561.35,498889.77
57,58,0.00,100000.00,345050.00,355891.00,251250.00,515459.41,251483.72,515833.15
58,59,0.00,100000.00,353670.00,364788.00,256270.00,532977.67,256499.27,533342.72
59,60,0.00,100000.00,362510.00,373908.00,261400.00,551108.41,261623.51,551464.89
60,61,0.00,100000.00,371570.00,383255.00,266630.00,569847.68,266840.92,570181.71
61,62,0.00,100000.00,380860.00,392837.00,271960.00,589212.25,272167.02,589544.47
62,63,0.00,100000.00,390380.00,402658.00,277400.00,609248.37,277594.06,609552.07
63,64,0.00,100000.00,400130.00,412724.00,282950.00,629964.76,283129.79,630240.93
64,65,0.00,100000.00,410130.00,423042.00,288600.00,651379.98,288774.22,651627.73
65,66,0.00,100000.00,420380.00,433618.00,294380.00,673531.26,294519.58,673715.43
66,67,0.00,100000.00,430890.00,444458.00,300260.00,696420.31,300389.16,696574.76
67,68,0.00,100000.00,441660.00,455569.00,306270.00,720106.36,306359.68,720170.16
68,69,0.00,100000.00,452700.00,466958.00,312390.00,744581.48,312454.42,744578.39
69,70,0.00,100000.00,464010.00,478632.00,318640.00,769907.73,318657.85,769786.09
70,71,0.00,100000.00,475610.00,490597.00,325010.00,796076.54,324977.75,795831.33
71,72,0.00,100000.00,487500.00,502861.00,331510.00,823141.94,331421.87,822753.51
72,73,0.00,100000.00,499680.00,515432.00,338140.00,851129.74,337982.45,850558.69
73,74,0.00,100000.00,512170.00,528318.00,344910.00,880074.34,344659.49,879267.91
74,75,0.00,100000.00,524970.00,541525.00,351800.00,909982.75,351460.75,908931.64
75,76,0.00,100000.00,538090.00,555062.00,358840.00,940934.51,358378.48,939547.99
76,77,0.00,100000.00,551540.00,568937.00,366020.00,972922.34,365428.19,971185.19
77,78,0.00,100000.00,565330.00,583160.00,373330.00,1005992.41,372594.36,1003826.03
78,79,0.00,100000.00,579460.00,597737.00,380800.00,1040203.30,379876.99,1037503.56
79,80,0.00,100000.00,593940.00,612679.00,388420.00,1075560.05,387283.85,1072258.49
80,81,0.00,100000.00,608790.00,627994.00,396180.00,1112127.78,394814.93,1108121.02
81,82,0.00,100000.00,624010.00,643692.00,404110.00,1149938.65,402462.47,1145100.07
82,83,0.00,100000.00,639600.00,659782.00,412190.00,1189036.55,410226.47,1183221.21
83,84,0.00,100000.00,655590.00,676273.00,420430.00,1229451.67,418106.93,1222515.79
84,85,0.00,100000.00,671970.00,693177.00,428830.00,1271235.75,426096.08,1262992.91
85,86,0.00,100000.00,688770.00,710502.00,437410.00,1314459.89,434193.94,1304678.96
86,87,0.00,100000.00,705980.00,728260.00,446160.00,1359155.33,442400.48,1347606.34
87,88,0.00,100000.00,723620.00,746462.00,455080.00,1405359.48,450707.96,1391778.53
88,89,0.00,100000.00,741710.00,765118.00,464170.00,1453112.93,459116.38,1437228.22
89,90,0.00,100000.00,760240.00,784239.00,473450.00,1502512.27,467617.96,1483964.27
90,91,0.00,100000.00,779230.00,803838.00,482920.00,1553583.61,476220.47,1532038.79
91,92,0.00,100000.00,798700.00,823926.00,492570.00,1606382.06,484916.15,1581461.21
92,93,0.00,100000.00,818650.00,844515.00,502410.00,1660982.20,493697.23,1632240.37
93,94,0.00,100000.00,839100.00,865618.00,512450.00,1717423.06,502563.72,1684404.06
94,95,0.00,100000.00,860040.00,887247.00,522680.00,1775742.81,511515.61,1737986.95
95,96,0.00,100000.00,881490.00,909416.00,533110.00,1836040.03,520529.62,1792944.29
96,97,0.00,100000.00,903460.00,932138.00,543740.00,1898349.43,529613.50,1849336.12
97,98,0.00,100000.00,925930.00,955426.00,554560.00,1962713.38,538736.20,1907080.34
98,99,0.00,100000.00,948910.00,979294.00,565570.00,2029146.71,547905.48,1966235.45
99,100,0.00,100000.00,972350.00,1003758.00,576750.00,2097661.51,557090.29,2026720.89
100,101,0.00,100000.00,996180.00,1028830.00,588050.00,2168153.28,566282.87,2088543.70
101,102,0.00,100000.00,1020240.00,1054526.00,599420.00,2240396.40,575467.68,2151659.13
102,103,0.00,100000.00,1044170.00,1080863.00,610670.00,2313814.58,584629.20,2216041.35
103,104,0.00,100000.00,1067220.00,1107854.00,621450.00,2387064.04,593759.66,2281676.75
104,105,0.00,100000.00,1087610.00,1135517.00,630960.00,2457017.14,602843.54,2348527.50
