保单年度,被保险人年龄,年度保费,累计保费,中英鑫盈家现金价值,爱心守护神现金价值,福满盈3.0固收现金价值,福满盈3.0总现金价值,中意固收现金价值,中意总现金价值

1,2,10000.00,10000.00,550.00,532.00,910.00,936.06,3315.23,3412.86
2,3,10000.00,20000.00,1290.00,1251.00,2560.00,2714.48,9332.33,9639.15
3,4,10000.00,30000.00,2540.00,2455.00,4630.00,5096.13,16840.12,17478.11
4,5,10000.00,40000.00,5380.00,10685.00,7020.00,8065.66,25458.16,26561.39
5,6,10000.00,50000.00,8480.00,35056.00,9600.00,11582.37,34743.90,36458.27
6,7,10000.00,60000.00,20660.00,48536.00,12380.00,15211.95,44720.64,47205.76
7,8,10000.00,70000.00,38260.00,62894.00,15390.00,19240.70,55434.96,58864.93
8,9,10000.00,80000.00,61730.00,78157.00,32220.00,37266.73,66910.15,71472.13
9,10,10000.00,90000.00,91540.00,94356.00,53920.00,60350.48,79185.04,85082.59
10,11,10000.00,100000.00,108190.00,111521.00,80820.00,88830.04,92290.67,99745.01
11,12,0.00,100000.00,110900.00,114309.00,101140.00,110809.93,95520.49,104651.78
12,13,0.00,100000.00,113670.00,117167.00,103160.00,114575.07,98866.78,109805.29
13,14,0.00,100000.00,116510.00,120096.00,105220.00,118467.46,102321.76,115201.60
14,15,0.00,100000.00,119430.00,123099.00,107330.00,122500.82,105908.72,120876.99
15,16,0.00,100000.00,122410.00,126176.00,109470.00,126658.97,109612.15,126821.99
16,17,0.00,100000.00,125470.00,129331.00,111660.00,130966.30,111801.60,131130.72
17,18,0.00,100000.00,128610.00,132564.00,113900.00,135426.34,114037.63,135589.33
18,19,0.00,100000.00,131810.00,135873.00,116160.00,140012.38,116312.48,140192.19
19,20,0.00,100000.00,135100.00,139266.00,118470.00,144760.27,118626.16,144942.71
20,21,0.00,100000.00,138470.00,142744.00,120830.00,149671.95,120986.41,149855.48
21,22,0.00,100000.00,141920.00,146310.00,123240.00,154755.52,123393.25,154934.50
22,23,0.00,100000.00,145460.00,149965.00,125690.00,160001.80,125854.44,160195.33
23,24,0.00,100000.00,149090.00,153713.00,128200.00,165437.59,128362.21,165629.25
24,25,0.00,100000.00,152810.00,157554.00,130750.00,171047.89,130916.57,171243.73
25,26,0.00,100000.00,156630.00,161493.00,133360.00,176859.48,133525.27,177053.41
26,27,0.00,100000.00,160540.00,165531.00,136020.00,182865.74,136188.32,183063.13
